                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.75703,                0.43573,                0.98736,                0.97744,                0.94504,                0.98404,                0.83874,                0.63504,                0.29756,                0.89577,              0.0085348,              0.0085348,              0.0085348
                     76,                0.75221,                0.42995,                0.98735,                0.94356,                0.89921,                0.95775,                0.77443,                0.77544,                0.40766,                0.97107,               0.008515,               0.008515,               0.008515
                     77,                0.75269,                0.43006,                0.98487,                0.97936,                0.95235,                0.98281,                 0.8382,                0.62518,                0.29493,                0.88995,              0.0084952,              0.0084952,              0.0084952
                     78,                0.74946,                0.42946,                0.98577,                 0.9833,                0.96161,                0.98755,                0.85149,                0.59877,                0.27754,                0.88169,              0.0084754,              0.0084754,              0.0084754
                     79,                0.75129,                0.43018,                0.98058,                0.96742,                0.93063,                0.97548,                0.81156,                0.68525,                0.33581,                0.91924,              0.0084556,              0.0084556,              0.0084556
                     80,                0.74565,                0.42861,                0.97684,                0.98147,                 0.9459,                0.98134,                0.84474,                0.60785,                  0.291,                0.88225,              0.0084358,              0.0084358,              0.0084358
                     81,                 0.7519,                0.42874,                0.98085,                0.98784,                0.95702,                0.98753,                0.85458,                0.59634,                0.27761,                0.87658,               0.008416,               0.008416,               0.008416
                     82,                0.75018,                0.43005,                0.98545,                0.97949,                0.96073,                0.98495,                0.85303,                0.59992,                0.28346,                0.88067,              0.0083962,              0.0083962,              0.0083962
                     83,                0.74308,                0.42409,                0.97945,                0.97829,                0.95506,                0.98442,                0.84932,                0.61198,                0.28743,                0.88393,              0.0083764,              0.0083764,              0.0083764
                     84,                0.73951,                0.41847,                0.97235,                0.98425,                0.96422,                0.98871,                0.86154,                0.58105,                0.26922,                0.86889,              0.0083566,              0.0083566,              0.0083566
                     85,                 0.7449,                0.42256,                0.98103,                0.98446,                0.96737,                0.99049,                0.86729,                0.56704,                0.26526,                0.86597,              0.0083368,              0.0083368,              0.0083368
